Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,GoodCustomer
47,1,1,1,1,1,1217,18,personal,No
60,1,2,1,1,1,2246,12,personal,No
58,0,1,1,1,1,385,12,personal,Yes
42,0,2,1,0,2,1965,24,leisure,Yes
36,0,1,1,3,0,1572,21,investment,Yes
20,0,1,1,1,2,2718,24,leisure,No
40,1,3,1,0,1,1358,24,leisure,No
32,0,1,1,2,2,931,6,leisure,No
23,0,2,1,1,1,1442,24,leisure,No
36,1,1,1,1,2,4241,24,investment,No
31,1,2,1,1,0,2775,18,leisure,No
32,1,2,0,1,0,3863,24,investment,Yes
45,0,2,1,1,2,2329,7,personal,Yes
30,0,2,1,1,2,918,9,personal,No
34,0,1,0,1,2,1837,24,investment,No
28,0,3,1,1,0,3349,36,personal,No
23,0,2,1,1,3,1275,10,personal,Yes
22,1,2,1,4,1,2828,24,personal,Yes
74,1,3,1,1,0,4526,24,investment,Yes
50,0,2,0,2,2,2671,36,personal,No
33,1,2,1,1,0,2051,18,personal,Yes
45,1,2,0,0,0,1300,15,leisure,Yes
22,0,2,1,2,1,741,12,personal,No
48,0,1,0,2,3,1240,10,leisure,No
29,0,2,1,3,1,3357,21,personal,Yes
22,0,2,1,1,1,3632,24,leisure,Yes
22,0,2,1,1,0,1808,18,personal,No
48,1,3,1,0,2,12204,48,investment,Yes
27,1,3,0,0,2,9157,60,personal,Yes
37,1,2,1,1,1,3676,6,leisure,Yes
21,0,2,1,2,2,3441,30,personal,No
49,1,1,1,1,0,640,12,leisure,Yes
27,1,2,1,1,2,3652,21,investment,Yes
32,1,2,1,1,0,1530,18,leisure,No
38,1,2,1,0,0,3914,48,investment,No
22,0,2,1,1,1,1858,12,personal,Yes
65,1,2,0,1,1,2600,18,personal,No
35,1,2,1,0,0,1979,15,personal,Yes
41,1,2,1,1,3,2116,6,personal,Yes
29,1,2,1,2,2,1437,9,leisure,No
36,1,2,1,4,0,4042,42,personal,Yes
64,1,1,1,0,0,3832,9,investment,Yes
28,0,2,1,1,1,3660,24,personal,Yes
44,1,2,1,1,1,1553,18,personal,No
23,1,2,1,0,2,1444,15,personal,Yes
19,0,2,1,1,0,1980,9,personal,No
25,0,1,1,1,2,1355,24,leisure,No
47,1,2,1,1,0,1393,12,investment,Yes
28,0,2,1,4,0,1376,24,personal,Yes
21,1,2,1,1,0,15653,60,personal,Yes
34,0,2,1,1,0,1493,12,personal,Yes
26,1,2,1,1,1,4370,42,personal,No
27,0,0,1,1,1,750,18,investment,No
38,1,1,1,1,2,1308,15,personal,Yes
40,1,3,1,2,0,4623,15,investment,No
33,1,2,1,1,0,1851,24,personal,Yes
32,1,3,1,1,1,1880,18,personal,Yes
27,1,2,1,0,0,7980,36,investment,No
32,1,2,1,1,1,4583,30,personal,Yes
26,0,2,1,4,0,1386,12,leisure,No
38,1,2,0,1,3,947,24,leisure,No
40,1,1,1,1,1,684,12,investment,No
50,1,3,0,1,1,7476,48,investment,Yes
37,1,1,1,1,2,1922,12,personal,No
45,1,2,1,1,1,2303,24,leisure,No
42,1,3,1,2,2,8086,36,leisure,No
35,1,2,1,1,0,2346,24,leisure,Yes
22,1,2,0,1,1,3973,14,leisure,Yes
41,1,1,1,1,2,888,12,leisure,No
37,1,2,1,0,0,10222,48,personal,Yes
28,0,2,1,1,2,4221,30,investment,Yes
41,1,2,1,1,2,6361,18,personal,Yes
23,1,2,1,1,3,1297,12,personal,Yes
23,1,2,1,0,1,900,12,leisure,No
50,1,2,1,1,0,2241,21,personal,Yes
35,1,3,1,1,2,1050,6,personal,Yes
50,0,1,1,1,3,1047,6,investment,Yes
27,1,3,1,1,0,6314,24,leisure,Yes
34,1,2,1,3,2,3496,30,personal,Yes
27,0,2,1,1,0,3609,48,investment,Yes
43,1,2,1,1,1,4843,12,leisure,No
47,1,2,1,1,3,3017,30,personal,Yes
27,1,1,1,2,0,4139,24,investment,Yes
31,1,2,1,2,0,5742,36,investment,Yes
42,1,3,1,1,0,10366,60,leisure,Yes
24,1,2,1,4,0,2080,6,leisure,Yes
41,1,1,1,4,0,2580,21,investment,No
26,0,3,1,1,0,4530,30,personal,Yes
33,1,2,1,1,0,5150,24,personal,Yes
24,1,2,1,2,2,5595,72,personal,No
64,1,1,1,1,1,2384,24,personal,Yes
26,0,2,1,1,0,1453,18,personal,Yes
56,0,2,1,1,0,1538,6,investment,Yes
37,1,2,0,0,0,2279,12,personal,Yes
33,1,2,1,1,0,1478,15,personal,Yes
47,1,2,0,1,0,5103,24,personal,Yes
31,1,1,1,2,2,9857,36,investment,Yes
34,1,2,0,0,0,6527,60,leisure,Yes
27,1,2,1,0,3,1347,10,personal,Yes
30,1,2,0,2,2,2862,36,leisure,Yes
35,1,2,1,2,0,2753,9,personal,Yes
31,1,2,1,3,1,3651,12,leisure,Yes
25,1,2,1,1,1,975,15,personal,Yes
25,0,1,1,2,2,2631,15,personal,Yes
29,1,2,1,2,2,2896,24,personal,Yes
44,1,1,1,0,1,4716,6,leisure,Yes
28,1,2,1,1,0,2284,24,personal,Yes
50,1,2,1,4,0,1236,6,leisure,Yes
29,1,2,1,1,2,1103,12,personal,Yes
38,0,0,1,1,0,926,12,leisure,Yes
24,1,2,1,1,0,1800,18,personal,Yes
40,1,3,1,1,3,1905,15,investment,Yes
29,0,1,1,4,0,1123,12,personal,No
46,1,2,0,1,1,6331,48,leisure,No
47,0,2,0,2,3,1377,24,personal,Yes
41,1,2,1,2,2,2503,30,investment,Yes
32,0,2,1,1,2,2528,27,investment,Yes
35,0,2,0,4,0,5324,15,leisure,Yes
24,1,2,1,2,2,6560,48,leisure,No
25,0,2,1,1,2,2969,12,personal,No
25,0,2,1,1,2,1206,9,personal,Yes
37,1,1,1,1,2,2118,9,personal,Yes
32,1,3,1,4,0,629,18,personal,Yes
35,0,2,0,1,1,1198,6,investment,No
46,1,3,1,0,0,2476,21,leisure,Yes
25,1,1,1,1,1,1138,9,personal,Yes
27,1,3,1,1,2,14027,60,leisure,No
63,1,2,1,0,0,7596,30,leisure,Yes
40,1,2,1,0,0,3077,30,personal,Yes
32,1,3,0,1,0,1505,18,personal,Yes
31,1,2,1,0,3,3148,24,personal,Yes
31,1,2,1,2,2,6148,20,leisure,Yes
34,1,3,1,1,3,1337,9,personal,No
24,0,2,1,3,2,433,6,investment,No
24,0,1,1,1,1,1228,12,leisure,No
66,0,1,1,4,2,790,9,personal,Yes
21,0,2,1,1,0,2570,27,leisure,No
41,0,1,1,3,0,250,6,leisure,Yes
47,1,1,1,4,0,1316,15,personal,Yes
25,0,2,1,1,1,1882,18,personal,No
59,0,2,1,1,2,6416,48,investment,No
36,1,2,1,3,3,1275,24,investment,Yes
33,1,2,1,1,2,6403,24,personal,Yes
21,1,1,1,1,1,1987,24,personal,No
44,0,1,1,1,2,760,8,personal,Yes
28,0,2,1,3,0,2603,24,leisure,Yes
37,0,2,1,1,0,3380,4,leisure,Yes
29,0,0,1,0,2,3990,36,personal,Yes
23,0,3,1,1,2,11560,24,leisure,No
35,1,1,1,2,1,4380,18,leisure,Yes
45,1,3,1,1,0,6761,6,leisure,Yes
26,0,1,1,2,2,4280,30,investment,No
32,1,2,1,2,1,2325,24,leisure,Yes
23,1,1,1,1,2,1048,10,personal,Yes
41,1,2,1,0,0,3160,21,personal,Yes
22,1,2,1,4,1,2483,24,personal,Yes
30,1,3,1,0,1,14179,39,personal,Yes
28,1,1,1,1,1,1797,13,investment,Yes
23,0,2,1,1,1,2511,15,leisure,Yes
37,0,1,1,1,1,1274,12,leisure,No
26,1,2,1,0,0,5248,21,leisure,Yes
33,1,2,1,1,0,3029,15,leisure,Yes
49,0,2,1,1,1,428,6,personal,Yes
23,0,1,1,1,1,976,18,leisure,No
23,0,1,1,2,2,841,12,investment,Yes
25,0,2,1,1,0,5771,30,personal,Yes
55,1,2,0,3,0,1555,12,personal,No
32,0,2,1,0,1,1285,24,leisure,No
74,1,0,1,1,3,1299,6,leisure,Yes
39,1,2,0,0,3,1271,15,personal,No
31,1,2,1,1,0,1393,24,leisure,Yes
35,1,2,1,1,1,691,12,leisure,No
59,0,2,1,0,0,5045,15,leisure,Yes
24,0,2,1,1,1,2124,18,personal,No
24,1,1,1,1,1,2214,12,personal,Yes
30,1,3,0,0,0,12680,21,leisure,No
27,1,2,1,2,0,2463,24,leisure,Yes
40,1,1,1,1,2,1155,12,personal,Yes
31,1,1,1,1,1,3108,30,personal,No
31,0,2,1,0,0,2901,10,leisure,Yes
28,1,2,1,1,2,3617,12,personal,Yes
63,1,1,1,1,0,1655,12,personal,Yes
26,0,2,1,0,1,2812,24,leisure,Yes
25,0,3,1,1,1,8065,36,investment,No
36,1,3,1,1,0,3275,21,leisure,Yes
52,1,2,1,2,0,2223,24,personal,Yes
66,1,0,0,4,3,1480,12,leisure,Yes
25,0,2,1,0,1,1371,24,leisure,No
37,1,2,1,1,0,3535,36,leisure,Yes
25,0,2,1,1,1,3509,18,personal,Yes
38,1,3,1,3,0,5711,36,leisure,Yes
67,0,2,1,1,2,3872,18,personal,Yes
25,1,2,1,1,2,4933,39,personal,No
60,1,2,1,3,0,1940,24,leisure,Yes
31,1,1,1,1,2,1410,12,investment,Yes
23,0,1,1,2,2,836,12,leisure,No
60,1,3,1,0,2,6468,20,leisure,Yes
35,1,1,1,3,2,1941,18,investment,Yes
40,1,2,1,4,0,2675,22,personal,Yes
38,1,2,1,0,0,2751,48,leisure,Yes
50,1,2,0,1,2,6224,48,investment,No
27,1,2,1,1,1,5998,40,investment,No
39,0,2,1,1,2,1188,21,investment,No
41,1,3,1,0,0,6313,24,leisure,Yes
27,1,2,1,0,0,1221,6,personal,Yes
51,1,2,0,1,3,2892,24,personal,Yes
32,1,2,1,4,0,3062,24,personal,Yes
22,0,2,1,2,0,2301,9,personal,Yes
51,1,2,0,0,1,7511,18,leisure,No
22,0,1,1,1,0,1258,12,personal,Yes
54,1,2,1,0,0,717,24,leisure,Yes
35,1,0,1,0,2,1549,9,leisure,Yes
54,1,2,0,1,0,1597,24,investment,Yes
48,0,1,1,1,2,1795,18,personal,Yes
24,0,2,1,1,1,4272,20,personal,Yes
35,1,2,1,0,0,976,12,personal,Yes
24,0,0,1,0,2,7472,12,leisure,Yes
24,1,2,1,1,1,9271,36,leisure,No
26,1,1,1,1,2,590,6,personal,Yes
65,1,2,1,0,0,930,12,personal,Yes
55,1,3,0,1,2,9283,42,leisure,Yes
26,0,0,1,1,2,1778,15,leisure,No
26,1,2,1,1,2,907,8,investment,Yes
28,1,1,1,1,2,484,6,personal,Yes
24,1,2,1,1,1,9629,36,leisure,No
54,1,2,1,1,1,3051,48,personal,No
46,1,2,0,1,1,3931,48,leisure,No
54,0,2,1,1,2,7432,36,leisure,Yes
62,1,2,1,4,0,1338,6,personal,Yes
24,0,2,1,1,0,1554,6,personal,Yes
43,1,3,1,1,1,15857,36,leisure,Yes
26,1,2,1,1,1,1345,18,personal,No
27,1,2,1,1,0,1101,12,leisure,Yes
24,1,2,1,1,3,3016,12,personal,Yes
41,1,2,1,1,1,2712,36,personal,No
47,1,1,1,1,1,731,8,leisure,Yes
35,1,3,1,1,0,3780,18,personal,Yes
30,1,2,1,1,1,1602,21,leisure,Yes
33,0,2,1,1,1,3966,18,leisure,No
36,1,2,1,1,0,4165,18,investment,No
47,1,2,0,0,1,8335,36,leisure,No
38,1,2,0,0,2,6681,48,investment,Yes
44,1,2,1,4,0,2375,24,investment,Yes
23,0,2,1,1,1,1216,18,leisure,No
29,1,2,1,1,1,11816,45,investment,No
42,0,2,1,0,2,5084,24,personal,Yes
25,0,1,1,1,3,2327,15,personal,No
48,1,2,1,1,1,1082,12,leisure,No
21,0,2,1,0,0,886,12,personal,Yes
23,0,1,1,1,0,601,4,personal,Yes
63,1,2,1,1,1,2957,24,leisure,Yes
46,1,2,1,1,0,2611,24,personal,Yes
29,1,2,1,1,1,5179,36,personal,No
28,1,1,1,1,0,2993,21,leisure,Yes
23,0,2,1,1,0,1943,18,personal,No
50,1,2,1,1,0,1559,24,investment,Yes
47,1,2,1,1,0,3422,18,personal,Yes
35,1,2,1,0,2,3976,21,personal,Yes
68,1,2,1,0,0,6761,18,leisure,No
28,1,2,1,1,0,1249,24,leisure,Yes
59,1,2,1,1,1,1364,9,personal,Yes
57,1,1,1,1,1,709,12,personal,No
33,1,2,1,1,1,2235,20,leisure,No
43,1,2,1,0,0,4042,24,leisure,Yes
35,1,2,0,1,0,1471,15,personal,Yes
32,1,1,0,1,1,1442,18,leisure,No
45,1,2,1,1,0,10875,36,leisure,Yes
33,1,2,1,2,0,1474,24,leisure,Yes
40,0,2,1,0,0,894,10,investment,Yes
28,1,2,0,1,0,3343,15,personal,Yes
29,0,2,1,1,1,3959,15,leisure,No
26,1,2,1,2,0,3577,9,leisure,Yes
27,1,2,1,3,0,5804,24,leisure,Yes
28,1,2,1,1,0,2169,18,investment,No
35,0,2,1,1,1,2439,24,personal,No
32,1,1,1,3,0,4526,27,personal,Yes
25,1,1,1,1,0,2210,10,personal,No
20,0,2,1,4,0,2221,15,personal,Yes
27,0,2,1,1,1,2389,18,personal,Yes
42,1,2,1,1,0,3331,12,personal,Yes
37,1,2,1,0,0,7409,36,investment,Yes
24,0,2,1,1,1,652,12,personal,Yes
40,0,2,1,4,0,7678,36,personal,Yes
46,1,2,1,1,3,1343,6,leisure,Yes
26,1,2,1,2,1,1382,24,investment,Yes
24,0,2,1,0,0,874,15,personal,Yes
29,1,1,1,1,1,3590,12,personal,Yes
40,0,2,1,3,2,1322,11,leisure,Yes
36,1,3,0,1,1,1940,18,personal,Yes
28,1,2,1,1,0,3595,36,personal,Yes
27,1,3,0,1,1,1422,9,leisure,No
36,1,2,1,0,0,6742,30,personal,Yes
38,1,3,1,1,0,7814,24,leisure,Yes
48,1,2,0,0,0,9277,24,leisure,Yes
36,1,2,1,0,2,2181,30,leisure,Yes
65,0,0,1,1,0,1098,18,personal,Yes
43,1,2,1,1,2,4057,24,personal,No
53,0,2,1,1,1,795,12,investment,No
34,1,2,1,0,2,2825,24,investment,Yes
23,1,2,1,1,2,15672,48,investment,No
34,1,3,1,1,0,6614,36,leisure,Yes
40,1,2,1,0,0,7824,28,leisure,Yes
43,1,3,1,1,1,2442,27,investment,Yes
46,1,2,1,1,0,1829,15,personal,Yes
38,1,1,1,1,1,2171,12,leisure,Yes
34,1,2,1,1,2,5800,36,leisure,Yes
29,1,2,1,0,0,1169,18,personal,Yes
31,1,3,1,0,0,8947,36,leisure,Yes
28,0,3,1,1,1,2606,21,personal,Yes
35,0,2,1,3,0,1592,12,personal,Yes
33,0,1,1,0,0,2186,15,personal,Yes
42,1,2,1,1,1,4153,18,personal,No
43,1,2,1,1,1,2625,16,leisure,No
44,1,2,1,0,0,3485,20,leisure,Yes
42,1,2,0,0,0,10477,36,leisure,Yes
40,1,2,1,0,0,1386,15,personal,Yes
36,1,3,1,1,0,1278,24,personal,Yes
20,1,3,1,1,1,1107,12,personal,Yes
24,1,1,1,0,1,3763,21,leisure,Yes
27,1,2,1,0,2,3711,36,investment,Yes
46,0,1,1,1,0,3594,15,leisure,Yes
33,0,1,1,0,2,3195,9,leisure,Yes
34,0,2,1,1,0,4454,36,personal,Yes
25,0,1,1,1,2,4736,24,personal,No
25,0,2,1,0,2,2991,30,personal,Yes
28,1,2,1,3,0,2142,11,investment,Yes
31,1,2,1,1,1,3161,24,investment,No
32,0,3,1,1,2,18424,48,leisure,No
32,1,2,1,2,0,2848,10,leisure,Yes
68,1,3,1,1,1,14896,6,leisure,No
33,1,2,1,2,1,2359,24,personal,No
39,1,3,1,1,1,3345,24,personal,No
28,0,2,1,1,0,1817,18,personal,Yes
37,1,3,1,4,0,12749,48,personal,Yes
22,0,2,1,1,1,1366,9,personal,No
30,1,2,1,1,2,2002,12,leisure,Yes
55,1,2,1,1,1,6872,24,personal,No
46,1,2,1,1,1,697,12,leisure,No
21,0,2,1,1,1,1049,18,personal,Yes
39,1,2,0,1,1,10297,48,leisure,No
58,1,2,1,0,0,1867,30,personal,Yes
43,1,1,1,1,1,1344,12,leisure,Yes
24,1,1,1,1,1,1747,24,personal,Yes
22,0,2,1,1,2,1670,9,personal,No
30,1,2,1,1,0,1224,9,leisure,Yes
42,1,2,1,4,0,522,12,personal,Yes
23,0,2,1,1,1,1498,12,personal,Yes
30,1,3,1,2,2,1919,30,personal,No
28,0,1,1,1,3,745,9,personal,No
30,1,3,1,1,2,2063,6,personal,Yes
42,1,2,0,1,2,6288,60,investment,No
46,1,3,1,0,0,6842,24,leisure,Yes
45,1,3,1,0,0,3527,12,leisure,Yes
31,1,1,1,1,0,1546,10,leisure,Yes
31,1,2,1,0,0,929,24,personal,Yes
42,1,1,1,1,0,1455,4,leisure,Yes
46,0,2,1,1,1,1845,15,personal,Yes
30,0,2,1,4,2,8358,48,leisure,Yes
30,1,2,0,4,1,3349,24,personal,No
38,1,3,1,0,0,2859,12,leisure,Yes
43,1,1,1,1,0,1533,18,personal,No
31,1,2,1,2,0,3621,24,personal,No
40,1,0,1,1,2,3590,18,investment,Yes
24,1,2,1,1,1,2145,36,investment,No
28,0,2,1,4,2,4113,24,leisure,No
26,0,3,1,1,0,10974,36,personal,No
29,0,2,1,1,1,1893,12,leisure,Yes
57,0,3,1,3,1,1231,24,personal,Yes
49,1,1,1,0,3,3656,30,personal,Yes
37,1,1,1,1,2,1154,9,personal,Yes
45,1,1,1,1,1,4006,28,leisure,No
30,1,2,0,2,2,3069,24,personal,Yes
30,1,2,1,1,0,1740,6,personal,Yes
47,1,2,1,1,2,2353,21,leisure,Yes
29,1,2,1,0,0,3556,15,leisure,Yes
35,1,2,1,4,0,2397,24,personal,No
22,1,1,1,1,2,454,6,personal,Yes
26,0,2,1,0,2,1715,30,personal,Yes
23,1,1,1,4,2,2520,27,personal,No
54,0,3,1,1,0,3568,15,personal,Yes
29,1,2,1,0,0,7166,42,personal,Yes
40,1,1,1,1,1,3939,11,leisure,Yes
22,1,2,1,2,2,1514,15,personal,Yes
43,1,1,1,1,0,7393,24,leisure,Yes
29,0,0,1,1,1,1193,24,leisure,No
36,1,2,1,1,1,7297,60,investment,No
33,0,2,1,1,0,2831,30,personal,Yes
57,0,1,1,4,3,1258,24,personal,Yes
64,0,2,1,1,2,753,6,personal,Yes
42,1,2,1,0,2,2427,18,investment,Yes
47,1,1,1,1,0,2538,24,leisure,No
25,1,2,1,2,2,1264,15,leisure,No
49,1,2,1,1,2,8386,30,personal,No
33,1,3,1,1,0,4844,48,investment,No
28,0,3,1,2,3,2923,21,leisure,Yes
26,1,2,1,1,1,8229,36,leisure,No
30,1,1,1,1,0,2028,24,personal,Yes
25,0,2,1,1,1,1433,15,personal,Yes
33,1,2,1,1,3,6289,42,investment,Yes
64,0,2,1,2,0,1409,13,personal,Yes
29,1,3,0,1,1,6579,24,leisure,Yes
48,1,1,1,1,2,1743,24,personal,Yes
37,1,1,1,0,0,3565,12,investment,Yes
34,1,1,1,2,0,1569,15,personal,Yes
23,1,1,1,0,1,1936,18,personal,Yes
30,1,3,1,1,1,3959,36,personal,Yes
50,1,2,1,0,0,2390,12,leisure,Yes
31,0,1,1,1,0,1736,12,personal,Yes
40,1,3,1,1,1,3857,30,leisure,Yes
38,1,2,1,1,0,804,12,personal,Yes
23,1,2,0,1,1,1845,45,personal,No
27,1,2,1,2,2,4576,45,leisure,Yes
